"title";"videoTitle";"movieID";"country";"bookmark";"duration";"date";"deviceType";"dateStr";"index";"topNodeId";"series";"seriesTitle";"seasonDescriptor";"episodeTitle";"estRating"
"""The Boy on the Bridge""";"The Boy on the Bridge";"80149494";"DE";"1";"2963";"1604762795279";"1222";"11/7/20";"36";"80149395";"80149395";"The Alienist";"The Alienist";"The Boy on the Bridge";"45"
"Season 1: ""Reagan Youth""";"Reagan Youth";"81345963";"DE";"153";"3207";"1604762583760";"1222";"11/7/20";"37";"81071829";"81071829";"Deadly Class";"Season 1";"Reagan Youth";"44"
"Season 1: ""Calcio Storico""";"Calcio Storico";"81085967";"DE";"2020";"2170";"1604698969942";"1222";"11/6/20";"38";"80227160";"80227160";"Home Game";"Season 1";"Calcio Storico";"15"
"Limited Series: ""End Game""";"End Game";"81301714";"DE";"3978";"4072";"1604185614804";"1222";"11/1/20";"39";"80234304";"80234304";"The Queen's Gambit";"Limited Series";"End Game";"49"
"Borat";"Borat";"70050506";"DE";"4570";"5022";"1604090699825";"1222";"10/30/20";"40";"70050506";;;;;"27"
"Limited Series: ""Adjournment""";"Adjournment";"81093614";"DE";"3441";"3612";"1604011310981";"1222";"10/29/20";"41";"80234304";"80234304";"The Queen's Gambit";"Limited Series";"Adjournment";"49"
"Rebecca";"Rebecca";"81002196";"DE";"6911";"7382";"1603978360467";"1222";"10/29/20";"42";"81002196";;;;;"28"
"Limited Series: ""Fork""";"Fork";"81093613";"DE";"2733";"2892";"1603832955948";"1222";"10/27/20";"43";"80234304";"80234304";"The Queen's Gambit";"Limited Series";"Fork";"49"
"Limited Series: ""Middle Game""";"Middle Game";"81093612";"DE";"2755";"2914";"1603747002276";"1222";"10/26/20";"44";"80234304";"80234304";"The Queen's Gambit";"Limited Series";"Middle Game";"49"
"Limited Series: ""Doubled Pawns""";"Doubled Pawns";"81093611";"DE";"2612";"2774";"1603660126793";"1222";"10/25/20";"45";"80234304";"80234304";"The Queen's Gambit";"Limited Series";"Doubled Pawns";"49"
"Limited Series: ""Exchanges""";"Exchanges";"81093610";"DE";"3746";"3912";"1603657539931";"1222";"10/25/20";"46";"80234304";"80234304";"The Queen's Gambit";"Limited Series";"Exchanges";"49"
"Limited Series: ""Openings""";"Openings";"80243261";"DE";"3386";"3552";"1603631816620";"1222";"10/25/20";"47";"80234304";"80234304";"The Queen's Gambit";"Limited Series";"Openings";"49"
"Season 2: ""Sandeep""";"Sandeep";"81238301";"DE";"2707";"2828";"1603460376146";"1222";"10/23/20";"48";"80216172";"80216172";"Criminal: UK";"Season 2";"Sandeep";"20"
"The Trial of the Chicago 7";"The Trial of the Chicago 7";"81043755";"DE";"7324";"7810";"1603402234586";"1222";"10/22/20";"49";"81043755";;;;;"29"
"Season 2: ""Danielle""";"Danielle";"81238300";"DE";"2393";"2504";"1603400455270";"1222";"10/22/20";"50";"80216172";"80216172";"Criminal: UK";"Season 2";"Danielle";"20"
"Season 2: ""Alex""";"Alex";"81238299";"DE";"2680";"2796";"1603295643415";"1222";"10/21/20";"51";"80216172";"80216172";"Criminal: UK";"Season 2";"Alex";"20"
"Season 1: ""Isabel""";"Isabel";"81020525";"DE";"0";"2402";"1603230293451";"1222";"10/20/20";"52";"81020523";"81020523";"Criminal: Spain";"Season 1";"Isabel";"20"
"Season 1: ""Jay""";"Jay";"81020512";"DE";"2516";"2616";"1603227781187";"1222";"10/20/20";"53";"80216172";"80216172";"Criminal: UK";"Season 1";"Jay";"20"
"Season 1: ""Stacey""";"Stacey";"81020511";"DE";"2499";"2600";"1603224030440";"1222";"10/20/20";"54";"80216172";"80216172";"Criminal: UK";"Season 1";"Stacey";"20"
"Season 1: ""Edgar""";"Edgar";"81020510";"DE";"2505";"2608";"1603119696624";"1222";"10/19/20";"55";"80216172";"80216172";"Criminal: UK";"Season 1";"Edgar";"20"
"Season 1: ""Episode 8""";"Episode 8";"81306392";"DE";"2994";"3078";"1603045823237";"1222";"10/18/20";"56";"81302258";"81302258";"To the Lake";"Season 1";"Episode 8";"29"
"Season 1: ""Episode 7""";"Episode 7";"81306391";"DE";"3101";"3184";"1603018594179";"1222";"10/18/20";"57";"81302258";"81302258";"To the Lake";"Season 1";"Episode 7";"29"
"Season 1: ""Episode 6""";"Episode 6";"81306390";"DE";"2923";"2994";"1602968163706";"1222";"10/17/20";"58";"81302258";"81302258";"To the Lake";"Season 1";"Episode 6";"29"
"Season 2: ""Julia""";"Julia";"81238298";"DE";"2753";"2872";"1602961097653";"1803";"10/17/20";"59";"80216172";"80216172";"Criminal: UK";"Season 2";"Julia";"20"
"Season 1: ""Episode 5""";"Episode 5";"81306389";"DE";"2712";"2788";"1602884351108";"1222";"10/16/20";"60";"81302258";"81302258";"To the Lake";"Season 1";"Episode 5";"29"
"Season 1: ""Mildred and Edmund""";"Mildred and Edmund";"80237936";"DE";"3425";"3545";"1602879274374";"1222";"10/16/20";"61";"80213445";"80213445";"Ratched";"Season 1";"Mildred and Edmund";"42"
"Season 1: ""The Bucket List""";"The Bucket List";"80237935";"DE";"3394";"3507";"1602873808462";"1222";"10/16/20";"62";"80213445";"80213445";"Ratched";"Season 1";"The Bucket List";"42"
"Season 1: ""Episode 4""";"Episode 4";"81306388";"DE";"3056";"3136";"1602797132076";"1222";"10/15/20";"63";"81302258";"81302258";"To the Lake";"Season 1";"Episode 4";"29"
"Season 1: ""Episode 3""";"Episode 3";"81306387";"DE";"3168";"3240";"1602791818430";"1222";"10/15/20";"64";"81302258";"81302258";"To the Lake";"Season 1";"Episode 3";"29"
"Season 1: ""Episode 2""";"Episode 2";"81306386";"DE";"2588";"2666";"1602790083481";"1222";"10/15/20";"65";"81302258";"81302258";"To the Lake";"Season 1";"Episode 2";"29"
"Season 1: ""Got No Strings""";"Got No Strings";"80237934";"DE";"2651";"2757";"1602780110347";"1222";"10/15/20";"66";"80213445";"80213445";"Ratched";"Season 1";"Got No Strings";"42"
"Season 1: ""Episode 1""";"Episode 1";"81306385";"DE";"3318";"3396";"1602710656311";"1222";"10/14/20";"67";"81302258";"81302258";"To the Lake";"Season 1";"Episode 1";"29"
"Season 1: ""The Dance""";"The Dance";"80237933";"DE";"3616";"3722";"1602705641504";"1222";"10/14/20";"68";"80213445";"80213445";"Ratched";"Season 1";"The Dance";"42"
"Season 1: ""Emily in Paris""";"Emily in Paris";"81289281";"DE";"1670";"1788";"1602609534674";"1803";"10/13/20";"69";"81037371";"81037371";"Emily in Paris";"Season 1";"Emily in Paris";"46"
"The Devil All The Time";"The Devil All The Time";"81028870";"DE";"4215";"8332";"1602528581684";"1222";"10/12/20";"70";"81028870";;;;;"22"
"Season 1: ""Angel of Mercy: Part Two""";"Angel of Mercy: Part Two";"80237932";"DE";"3084";"3209";"1602451139104";"1222";"10/11/20";"71";"80213445";"80213445";"Ratched";"Season 1";"Angel of Mercy: Part Two";"42"
"Season 1: ""Angel of Mercy""";"Angel of Mercy";"80237931";"DE";"2878";"3003";"1602190378189";"1222";"10/8/20";"72";"80213445";"80213445";"Ratched";"Season 1";"Angel of Mercy";"42"
"Season 1: ""Ice Pick""";"Ice Pick";"80237930";"DE";"2911";"3003";"1602187711468";"1222";"10/8/20";"73";"80213445";"80213445";"Ratched";"Season 1";"Ice Pick";"42"
"Season 1: ""Pilot""";"Pilot";"80213573";"DE";"3269";"3415";"1602101319599";"1222";"10/7/20";"74";"80213445";"80213445";"Ratched";"Season 1";"Pilot";"42"
"Season 3: ""Going Back to Cali""";"Going Back to Cali";"80126681";"DE";"2989";"3055";"1602100799565";"1222";"10/7/20";"75";"80025172";"80025172";"Narcos";"Season 3";"Going Back to Cali";"48"
"Season 3: ""Todos Los Hombres del Presidente""";"Todos Los Hombres del Presidente";"80126680";"DE";"2763";"2833";"1601932331889";"1222";"10/5/20";"76";"80025172";"80025172";"Narcos";"Season 3";"Todos Los Hombres del Presidente";"48"
"Enola Holmes";"Enola Holmes";"81277950";"DE";"7028";"7434";"1601929857006";"1222";"10/5/20";"77";"81277950";;;;;"42"
"Season 3: ""Convivir""";"Convivir";"80126679";"DE";"3013";"3085";"1601889720892";"1222";"10/5/20";"78";"80025172";"80025172";"Narcos";"Season 3";"Convivir";"48"
"Limited Series: ""Role Players""";"Role Players";"81058577";"DE";"2320";"2430";"1601590348465";"1222";"10/1/20";"79";"81019087";"81019087";"High Score";"Limited Series";"Role Players";"25"
"Season 3: ""Sin Salida""";"Sin Salida";"80126678";"DE";"2946";"3013";"1601585967508";"1222";"10/1/20";"80";"80025172";"80025172";"Narcos";"Season 3";"Sin Salida";"48"
"Season 3: ""Best Laid Plans""";"Best Laid Plans";"80126677";"DE";"3373";"3439";"1601584683537";"1222";"10/1/20";"81";"80025172";"80025172";"Narcos";"Season 3";"Best Laid Plans";"48"
"Season 1: ""Novo Mundo""";"Novo Mundo";"80216899";"DE";"1";"2820";"1601576639653";"1222";"10/1/20";"82";"80144355";"80144355";"Mars";"Season 1";"Novo Mundo";"30"
"Limited Series: ""Space for Everyone""";"Space for Everyone";"81012171";"DE";"2547";"2652";"1601410245519";"1222";"9/29/20";"83";"81012137";"81012137";"Challenger";"Limited Series";"Space for Everyone";"24"
"Season 3: ""MRO""";"MRO";"80126676";"DE";"3563";"3630";"1601236878735";"1222";"9/27/20";"84";"80025172";"80025172";"Narcos";"Season 3";"MRO";"48"
"Season 3: ""Checkmate""";"Checkmate";"80126675";"DE";"3104";"3175";"1601221372712";"1222";"9/27/20";"85";"80025172";"80025172";"Narcos";"Season 3";"Checkmate";"48"
"Season 3: ""Follow the Money""";"Follow the Money";"80126674";"DE";"3486";"3551";"1601218417790";"1222";"9/27/20";"86";"80025172";"80025172";"Narcos";"Season 3";"Follow the Money";"48"
"Season 3: ""The Cali KGB""";"The Cali KGB";"80126673";"DE";"2899";"2965";"1600973893451";"1222";"9/24/20";"87";"80025172";"80025172";"Narcos";"Season 3";"The Cali KGB";"48"
"Season 3: ""The Kingpin Strategy""";"The Kingpin Strategy";"80126672";"DE";"3210";"3277";"1600953010678";"1222";"9/24/20";"88";"80025172";"80025172";"Narcos";"Season 3";"The Kingpin Strategy";"48"
"Season 2: ""Al Fin Cayó!""";"Al Fin Cayó!";"80101282";"DE";"3098";"3177";"1600720199757";"1222";"9/21/20";"89";"80025172";"80025172";"Narcos";"Season 2";"Al Fin Cayó!";"48"
"Season 2: ""Nuestra Finca""";"Nuestra Finca";"80101281";"DE";"3338";"3411";"1600633349850";"1222";"9/20/20";"90";"80025172";"80025172";"Narcos";"Season 2";"Nuestra Finca";"48"
"Season 2: ""Exit El Patrón""";"Exit El Patrón";"80101280";"DE";"3189";"3267";"1600616630675";"1803";"9/20/20";"91";"80025172";"80025172";"Narcos";"Season 2";"Exit El Patrón";"48"
"Season 2: ""Deutschland 93""";"Deutschland 93";"80101279";"DE";"3305";"3391";"1600611698454";"1803";"9/20/20";"92";"80025172";"80025172";"Narcos";"Season 2";"Deutschland 93";"48"
"Season 2: ""Los Pepes""";"Los Pepes";"80101278";"DE";"3174";"3251";"1600611652875";"1803";"9/20/20";"93";"80025172";"80025172";"Narcos";"Season 2";"Los Pepes";"48"
"Season 1: ""Goodnight Mars""";"Goodnight Mars";"80243609";"DE";"2948";"3099";"1600599037071";"1803";"9/20/20";"94";"80214512";"80214512";"Away";"Season 1";"Goodnight Mars";"31"
"Season 2: ""The Enemies of My Enemy""";"The Enemies of My Enemy";"80101277";"DE";"3051";"3133";"1600417502512";"1803";"9/18/20";"95";"80025172";"80025172";"Narcos";"Season 2";"The Enemies of My Enemy";"48"
"Season 2: ""The Good, The Bad, and The Dead""";"The Good, The Bad, and The Dead";"80101276";"DE";"0";"3385";"1600410794308";"1803";"9/18/20";"96";"80025172";"80025172";"Narcos";"Season 2";"The Good, The Bad, and The Dead";"48"
"Season 1: ""A Little Faith""";"A Little Faith";"80243608";"DE";"2832";"2989";"1600314871963";"1803";"9/17/20";"97";"80214512";"80214512";"Away";"Season 1";"A Little Faith";"31"
"Season 1: ""Space Dogs""";"Space Dogs";"80243607";"RU";"3200";"3353";"1600307649994";"1222";"9/17/20";"98";"80214512";"80214512";"Away";"Season 1";"Space Dogs";"31"
"I'm Thinking of Ending Things";"I'm Thinking of Ending Things";"80211559";"RU";"1312";"8086";"1600304117473";"1222";"9/17/20";"99";"80211559";;;;;"16"
"Season 2: ""Our Man in Madrid""";"Our Man in Madrid";"80101275";"RU";"2716";"2795";"1599941029678";"1222";"9/12/20";"100";"80025172";"80025172";"Narcos";"Season 2";"Our Man in Madrid";"48"
"Project Power";"Project Power";"80204465";"RU";"2845";"6796";"1599850364263";"1222";"9/11/20";"101";"80204465";;;;;"16"
"The Social Dilemma";"The Social Dilemma";"81254224";"DE";"5598";"5676";"1599653741573";"1222";"9/9/20";"102";"81254224";;;;;"38"
"Season 2: ""Cambalache""";"Cambalache";"80101274";"RU";"2741";"2817";"1599639825609";"1222";"9/9/20";"103";"80025172";"80025172";"Narcos";"Season 2";"Cambalache";"48"
"Season 2: ""Free at Last""";"Free at Last";"80101273";"RU";"3111";"3191";"1599594610129";"1222";"9/8/20";"104";"80025172";"80025172";"Narcos";"Season 2";"Free at Last";"48"
"Season 1: ""Excellent Chariots""";"Excellent Chariots";"80243606";"RU";"2513";"2667";"1599591468304";"1222";"9/8/20";"105";"80214512";"80214512";"Away";"Season 1";"Excellent Chariots";"31"
"Season 1: ""Half the Sky""";"Half the Sky";"80243605";"RU";"2790";"2941";"1599588685727";"1222";"9/8/20";"106";"80214512";"80214512";"Away";"Season 1";"Half the Sky";"31"
"Season 1: ""Negative Return""";"Negative Return";"80243604";"RU";"2795";"2945";"1599585786165";"1222";"9/8/20";"107";"80214512";"80214512";"Away";"Season 1";"Negative Return";"31"
"Season 1: ""Go""";"Go";"80223867";"RU";"3312";"3473";"1599556608471";"1222";"9/8/20";"108";"80214512";"80214512";"Away";"Season 1";"Go";"31"
"Season 1: ""Despegue""";"Despegue";"80025322";"RU";"2645";"2723";"1599554345843";"1222";"9/8/20";"109";"80025172";"80025172";"Narcos";"Season 1";"Despegue";"48"
"Season 1: ""La Catedral""";"La Catedral";"80025321";"RU";"3004";"3083";"1599509366612";"1222";"9/7/20";"110";"80025172";"80025172";"Narcos";"Season 1";"La Catedral";"48"
"Season 1: ""Surveillance""";"Surveillance";"81084952";"RU";"1081";"2703";"1599022938657";"1803";"9/2/20";"111";"81031737";"81031737";"Connected";"Season 1";"Surveillance";"15"
"Season 1: ""La Gran Mentira""";"La Gran Mentira";"80025320";"RU";"3007";"3083";"1599018495872";"1803";"9/2/20";"112";"80025172";"80025172";"Narcos";"Season 1";"La Gran Mentira";"48"
"Season 1: ""You Will Cry Tears of Blood""";"You Will Cry Tears of Blood";"80025319";"RU";"2984";"3061";"1599014529350";"1803";"9/2/20";"113";"80025172";"80025172";"Narcos";"Season 1";"You Will Cry Tears of Blood";"48"
"Season 1: ""Ayahuasca""";"Ayahuasca";"81076175";"DE";"3377";"3461";"1598979330322";"1803";"9/1/20";"114";"81044208";"81044208";"(Un)Well";"Season 1";"Ayahuasca";"15"
"Season 1: ""Explosivos""";"Explosivos";"80025318";"DE";"2914";"2985";"1598911472569";"1222";"8/31/20";"115";"80025172";"80025172";"Narcos";"Season 1";"Explosivos";"48"
"Season 1: ""There Will Be a Future""";"There Will Be a Future";"80025317";"DE";"3222";"3295";"1598908145823";"1222";"8/31/20";"116";"80025172";"80025172";"Narcos";"Season 1";"There Will Be a Future";"48"
"Season 1: ""Fasting""";"Fasting";"81076174";"DE";"2841";"2925";"1598905282049";"1222";"8/31/20";"117";"81044208";"81044208";"(Un)Well";"Season 1";"Fasting";"15"
"Da 5 Bloods";"Da 5 Bloods";"81045635";"DE";"1461";"9352";"1598903621834";"1222";"8/31/20";"118";"81045635";;;;;"30"
"Season 1: ""The Palace in Flames""";"The Palace in Flames";"80025316";"DE";"2574";"2645";"1598822526846";"1222";"8/30/20";"119";"80025172";"80025172";"Narcos";"Season 1";"The Palace in Flames";"48"
"Season 1: ""The Men of Always""";"The Men of Always";"80025315";"DE";"2721";"2795";"1598819370433";"1222";"8/30/20";"120";"80025172";"80025172";"Narcos";"Season 1";"The Men of Always";"48"
"Season 1: ""Bulking Up with Breast Milk""";"Bulking Up with Breast Milk";"81076173";"DE";"3034";"3121";"1598805710966";"1222";"8/30/20";"121";"81044208";"81044208";"(Un)Well";"Season 1";"Bulking Up with Breast Milk";"15"
"Season 1: ""The Sword of Simón Bolívar""";"The Sword of Simón Bolívar";"80025314";"DE";"2723";"2799";"1598779338906";"1222";"8/30/20";"122";"80025172";"80025172";"Narcos";"Season 1";"The Sword of Simón Bolívar";"48"
"Season 1: ""Tantric Sex""";"Tantric Sex";"81076176";"DE";"2824";"2903";"1598737248055";"1222";"8/29/20";"123";"81044208";"81044208";"(Un)Well";"Season 1";"Tantric Sex";"15"
"Season 1: ""Descenso""";"Descenso";"80025313";"DE";"3365";"3443";"1598712817345";"1222";"8/29/20";"124";"80025172";"80025172";"Narcos";"Season 1";"Descenso";"48"
"Season 1: ""Essential Oils""";"Essential Oils";"81076172";"ES";"3191";"3277";"1598683355356";"1803";"8/29/20";"125";"81044208";"81044208";"(Un)Well";"Season 1";"Essential Oils";"15"
"Season 1: ""Betrayal""";"Betrayal";"81012145";"ES";"1915";"2442";"1598216655881";"1222";"8/23/20";"126";"81011660";"81011660";"Biohackers";"Season 1";"Betrayal";"31"
"Season 1: ""Certainty""";"Certainty";"81012144";"ES";"1";"2780";"1598216651599";"1222";"8/23/20";"127";"81011660";"81011660";"Biohackers";"Season 1";"Certainty";"31"
"Season 1: ""Suspicion""";"Suspicion";"81012143";"ES";"495";"2804";"1598216642668";"1222";"8/23/20";"128";"81011660";"81011660";"Biohackers";"Season 1";"Suspicion";"31"
"Season 1: ""Secrets""";"Secrets";"81012142";"DE";"1802";"2440";"1598129890486";"1222";"8/22/20";"129";"81011660";"81011660";"Biohackers";"Season 1";"Secrets";"31"
"Season 1: ""Arrival""";"Arrival";"81012141";"DE";"2124";"2646";"1598127738312";"1222";"8/22/20";"130";"81011660";"81011660";"Biohackers";"Season 1";"Arrival";"31"
"Limited Series: ""Comeback Kid""";"Comeback Kid";"81058576";"DE";"2269";"2649";"1598105187130";"1222";"8/22/20";"131";"81019087";"81019087";"High Score";"Limited Series";"Comeback Kid";"25"
"Searching";"Searching";"81053209";"DE";"5881";"6141";"1598045718259";"1222";"8/21/20";"132";"81053209";;;;;"22"
"Work It";"Work It";"81132038";"DE";"5265";"5626";"1597931481706";"1222";"8/20/20";"133";"81132038";;;;;"31"
"Limited Series: ""Boom & Bust""";"Boom & Bust";"81058575";"DE";"2731";"2837";"1597875310023";"1222";"8/19/20";"134";"81019087";"81019087";"High Score";"Limited Series";"Boom & Bust";"25"
"Laney: ""The Town""";"The Town";"81215686";"DE";"3446";"3551";"1597778339387";"1222";"8/18/20";"135";"80091742";"80091742";"Last Chance U";"Laney";"The Town";"30"
"Season 1: ""994 Cars Long""";"994 Cars Long";"80245144";"DE";"1025";"2723";"1597602489078";"1222";"8/16/20";"136";"80177458";"80177458";"Snowpiercer";"Season 1";"994 Cars Long";"29"
"Season 1: ""The Train Demanded Blood""";"The Train Demanded Blood";"80245143";"DE";"2547";"2645";"1597478593616";"1222";"8/15/20";"137";"80177458";"80177458";"Snowpiercer";"Season 1";"The Train Demanded Blood";"29"
"Katherine Ryan: Glitter Room";"Katherine Ryan: Glitter Room";"80238020";"DE";"3879";"3931";"1597090169769";"1222";"8/10/20";"138";"80238020";;;;;"30"
"Season 1: ""Slim, Trim and Educated""";"Slim, Trim and Educated";"80244462";"DE";"28";"2368";"1596872837209";"1222";"8/8/20";"139";"80244565";"80244565";"Indian Matchmaking";"Season 1";"Slim, Trim and Educated";"30"
"The Kissing Booth 2";"The Kissing Booth 2";"81026818";"DE";"7561";"7964";"1596373502444";"1222";"8/2/20";"140";"81026818";;;;;"42"
"Season 1: ""Fire""";"Fire";"80022396";"DE";"3421";"3531";"1596230694005";"1222";"7/31/20";"141";"80022456";"80022456";"Cooked";"Season 1";"Fire";"15"
"Limited Series: ""Mob Rule""";"Mob Rule";"81053936";"DE";"854";"2925";"1596123304489";"1222";"7/30/20";"142";"80218338";"80218338";"Fear City: New York vs The Mafia";"Limited Series";"Mob Rule";"37"
"Season 3: ""Searching for Brown Sugar Man""";"Searching for Brown Sugar Man";"81044239";"DE";"1976";"2054";"1595969765169";"1222";"7/28/20";"143";"80117540";"80117540";"Atypical";"Season 3";"Searching for Brown Sugar Man";"44"
"Season 3: ""Sam Takes a Walk""";"Sam Takes a Walk";"81044238";"DE";"2051";"2126";"1595968915336";"1222";"7/28/20";"144";"80117540";"80117540";"Atypical";"Season 3";"Sam Takes a Walk";"44"
